name,monologue
Craig Ferguson,"Today is National Repeat Day, the day we celebrate all television repeats. But we’re going against the grain because this is a new episode.
"
Craig Ferguson,"
Mark Twain was considered the greatest humorist of his age, but that’s only because he didn’t live at the same time as Carrot Top.
"
Craig Ferguson,"
Mark Twain is responsible for a  number of famous quotes such as, “I’ve never let my schooling interfere with my education.” My most famous quote is, “I think I broke the toilet again.”
"
