name,monologue
Conan O'Brien,"During his speech to the U.N., President Trump paused for what he thought was an applause line and was met by silence. President Trump, welcome to my world."
Conan O'Brien,"While at the U.N., President Trump also called the Iran nuclear deal an ""embarrassment."" Then Trump said, ""Gotta go — I have to post a tweet of me hitting a woman with a golf ball."""
Conan O'Brien,"Today at the U.N., President Trump threatened to return immigrants to their home countries. After making those comments he got a standing ovation from Melania."
Conan O'Brien,"T-Mobile and Sprint are in talks for a possible merger. The merger will happen after T-Mobile texts Sprint at 2 a.m. and asks, ""U up?"""
Conan O'Brien,"Apple is exploring ways to turn Siri into people's personal therapist. In fact, this morning when I asked Siri for today's weather she said, ""Stop trying to replace your father."""
Conan O'Brien,"A new app lets people take selfies with virtual versions of ""The Today Show"" anchors. The app is called Why?"
