name,monologue
Conan O'Brien,The Mars Curiosity Rover celebrated its fifth year in space by humming “Happy Birthday” to itself. The Rover then drank a bottle of white wine and cried itself to sleep.
Conan O'Brien,"Vice President Mike Pence denies he’s planning to run for president in 2020. He said, “I’m pretty sure I’ll be president way before then.”"
Conan O'Brien,"The White House is undergoing a $3.4 million renovation. Trump said he’s hoping to replace the kitchen, the carpeting, and the attorney general."
